iter	Passed	Remaining
733	6924	2509
734	6933	2499
735	6943	2490
736	6951	2480
737	6960	2471
738	6969	2461
739	6978	2451
740	6987	2442
741	6997	2433
742	7007	2423
743	7015	2414
744	7024	2404
745	7033	2394
746	7042	2385
747	7051	2375
748	7059	2365
749	7068	2356
750	7077	2346
751	7086	2336
752	7095	2327
753	7103	2317
754	7113	2308
755	7122	2298
756	7132	2289
757	7141	2280
758	7151	2270
759	7160	2261
760	7171	2252
761	7180	2242
762	7189	2233
763	7199	2223
764	7207	2214
765	7217	2204
766	7226	2195
767	7236	2185
768	7245	2176
769	7254	2167
770	7263	2157
771	7272	2147
772	7280	2138
773	7289	2128
774	7298	2118
775	7307	2109
776	7315	2099
777	7324	2090
778	7333	2080
779	7342	2070
780	7351	2061
781	7359	2051
782	7369	2042
783	7378	2032
784	7386	2023
785	7395	2013
786	7404	2003
787	7413	1994
788	7422	1984
789	7431	1975
790	7440	1965
791	7449	1956
792	7458	1946
793	7467	1937
794	7476	1927
795	7486	1918
796	7495	1909
797	7504	1899
798	7514	1890
799	7523	1880
800	7532	1871
801	7542	1862
802	7551	1852
803	7560	1843
804	7570	1833
805	7579	1824
806	7589	1814
807	7598	1805
808	7608	1796
809	7618	1787
810	7627	1777
811	7637	1768
812	7647	1759
813	7656	1749
814	7667	1740
815	7676	1730
816	7686	1721
817	7696	1712
818	7705	1703
819	7716	1693
820	7725	1684
821	7736	1675
822	7745	1665
823	7755	1656
824	7765	1647
825	7775	1637
826	7785	1628
827	7794	1619
828	7804	1609
829	7815	1600
830	7824	1591
831	7834	1581
832	7843	1572
833	7853	1563
834	7864	1554
835	7873	1544
836	7883	1535
837	7892	1525
838	7902	1516
839	7911	1506
840	7921	1497
841	7932	1488
842	7941	1479
843	7952	1469
844	7962	1460
845	7971	1451
846	7982	1441
847	7992	1432
848	8001	1423
849	8011	1413
850	8019	1404
851	8028	1394
852	8037	1385
853	8047	1375
854	8056	1366
855	8065	1356
856	8074	1347
857	8083	1337
858	8092	1328
859	8101	1318
860	8110	1309
861	8119	1299
862	8128	1290
863	8137	1280
864	8146	1271
865	8156	1262
866	8165	1252
867	8174	1243
868	8183	1233
869	8192	1224
870	8201	1214
871	8210	1205
872	8219	1195
873	8227	1186
874	8236	1176
875	8246	1167
876	8255	1157
877	8264	1148
878	8273	1138
879	8281	1129
880	8290	1119
881	8299	1110
882	8308	1100
883	8317	1091
884	8326	1081
885	8335	1072
886	8345	1063
887	8353	1053
888	8362	1044
889	8371	1034
890	8380	1025
891	8389	1015
892	8398	1006
893	8407	996
894	8416	987
895	8425	977
896	8433	968
897	8442	958
898	8450	949
899	8459	939
900	8468	930
901	8477	921
902	8486	911
903	8495	902
904	8504	892
905	8514	883
906	8523	873
907	8531	864
908	8540	854
909	8548	845
910	8557	836
911	8566	826
912	8575	817
913	8584	807
914	8594	798
915	8602	788
916	8611	779
917	8620	770
918	8629	760
919	8638	751
920	8647	741
921	8656	732
922	8665	722
923	8674	713
924	8684	704
925	8693	694
926	8702	685
927	8711	675
928	8720	666
929	8728	656
930	8736	647
931	8745	638
932	8754	628
933	8764	619
934	8773	609
935	8782	600
936	8790	591
937	8799	581
938	8808	572
939	8816	562
940	8825	553
941	8834	543
942	8842	534
943	8851	525
944	8861	515
945	8870	506
946	8878	496
947	8888	487
948	8896	478
949	8906	468
950	8914	459
951	8924	449
952	8933	440
953	8941	431
954	8950	421
955	8959	412
956	8969	403
957	8978	393
958	8988	384
959	8997	374
960	9007	365
961	9016	356
962	9025	346
963	9034	337
964	9043	328
965	9053	318
966	9063	309
967	9072	299
968	9081	290
969	9090	281
970	9098	271
971	9107	262
972	9116	252
973	9125	243
974	9134	234
975	9144	224
976	9153	215
977	9162	206
978	9172	196
979	9180	187
980	9191	178
981	9201	168
982	9210	159
983	9220	149
984	9229	140
985	9239	131
986	9248	121
987	9257	112
988	9267	103
989	9276	93
990	9285	84
991	9294	74
992	9303	65
993	9312	56
994	9322	46
995	9332	37
996	9341	28
997	9351	18
998	9361	9
999	9370	0
